rank,word,gloss,pos,lemma,ipa,syllables,stress
137,hecho,"done, completed",adjective,hecho,/ˈetʃo/,he-cho,he
138,mis,my (plural),determiner,mi,/ˈmis/,mis,mis
139,estamos,to be (have a temporary or permanent location in space),verb,estar,/esˈtamos/,es-ta-mos,ta
140,otra,"other, another",determiner,otro,/ˈotɾa/,o-tra,o
141,acuerdo,agreement,noun,acuerdo,/aˈkueɾdo/,a-cuer-do,cuer
142,trabajo,"work, job",noun,trabajo,/tɾaˈbaxo/,tra-ba-jo,ba
143,nosotros,we (masculine plural),pronoun,yo,/noˈsotɾos/,no-so-tros,so
144,parece,"to seem, to see fit",verb,parecer,/paˈɾese/,pa-re-ce,re
145,gente,people,noun,gente,/ˈxente/,gen-te,gen
146,sea,to be (essentially or identified as),verb,ser,/ˈsea/,se-a,se
147,padre,father,noun,padre,/ˈpadɾe/,pa-dre,pa
148,mira,"to look at (to try to see, to pay attention to with one’s eyes)",verb,mirar,/ˈmiɾa/,mi-ra,mi
149,mismo,same; (one)self,determiner,mismo,/ˈmismo/,mis-mo,mis
150,dijo,"to say, to tell",verb,decir,/ˈdixo/,di-jo,di
151,nadie,no one; nobody (anyone or anybody),pronoun,nadie,/ˈnadie/,na-die,na
152,quiere,to want,verb,querer,/ˈkieɾe/,quie-re,quie
153,podría,"to be able to, can",verb,poder,/poˈdɾia/,po-drí-a,drí
154,hablar,to talk; to speak; to communicate using words,verb,hablar,/aˈblaɾ/,ha-blar,blar
155,vas,to go,verb,va,/ˈbas/,vas,vas
156,ellos,they; them (masculine),pronoun,él,/ˈeʝos/,e-llos,e
157,sr.,Mr. (abbreviation of señor),abbreviation,señor,/ˈsr./,sr.,sr.
158,tal,such,noun,tal,/ˈtal/,tal,tal
159,pasa,"to pass, to hand, to slip",verb,pasar,/ˈpasa/,pa-sa,pa
160,fuera,outside; out (also subjunctive of ser),verb,ser,/ˈfueɾa/,fue-ra,fue
161,después,"later, afterwards, afterward, post",adverb,después,/desˈpues/,des-pués,pués
162,han,have; forms the perfect aspect,verb,haber,/ˈan/,han,han
163,desde,since (from a specified time in the past),preposition,desde,/ˈdesde/,des-de,des
164,dinero,money,noun,dinero,/diˈneɾo/,di-ne-ro,ne
165,mundo,"world, earth (human collective existence)",noun,mundo,/ˈmundo/,mun-do,mun
166,claro,clear (easily understood),adjective,claro,/ˈklaɾo/,cla-ro,cla
167,momento,"moment, instant",noun,momento,/moˈmento/,mo-men-to,men
168,les,"dative of ellos and ellas; to them, for them",pronoun,él,/ˈles/,les,les
169,tener,to have; to possess,verb,tener,/teˈneɾ/,te-ner,ner
170,estado,past participle of estar,verb,estadir,/esˈtado/,es-ta-do,ta
171,otro,"other, another",determiner,otro,/ˈotɾo/,o-tro,o
172,había,there was; there were; had (auxiliary),verb,haber,/aˈbia/,ha-bí-a,bí
173,mañana,tomorrow,adverb,mañana,/maˈɲana/,ma-ña-na,ña
174,tenía,to have; to possess,verb,tener,/teˈnia/,te-ní-a,ní
175,madre,mother,noun,madre,/ˈmadɾe/,ma-dre,ma
176,vale,okay; alright,verb,valer,/ˈbale/,va-le,va
177,lugar,place,noun,lugar,/luˈɡaɾ/,lu-gar,gar
178,haciendo,gerund of hacer,verb,hacer,/aˈsiendo/,ha-cien-do,cien
179,donde,"where, in what place",pronoun,donde,/ˈdonde/,don-de,don
180,seguro,secure; safe (free from danger),adjective,seguro,/seˈɡuɾo/,se-gu-ro,gu
181,sabe,"to know, to understand (a fact)",verb,saber,/ˈsabe/,sa-be,sa
182,podemos,"to be able to, can",verb,poder,/poˈdemos/,po-de-mos,de
183,tus,your (plural),determiner,tu,/ˈtus/,tus,tus
184,espera,to wait; to hope,verb,esperar,/esˈpeɾa/,es-pe-ra,pe
185,nuevo,new,adjective,nuevo,/ˈnuebo/,nue-vo,nue
186,sido,past participle of ser,verb,ser,/ˈsido/,si-do,si
187,cosa,"thing (object, concept)",noun,cosa,/ˈkosa/,co-sa,co
188,hijo,son,noun,hijo,/ˈixo/,hi-jo,hi
189,allí,there (away from the speaker and the listener),adverb,allí,/aˈʝi/,a-llí,llí
190,menos,less,adverb,menos,/ˈmenos/,me-nos,me
191,tipo,"kind, type, sort, manner",noun,tipo,/ˈtipo/,ti-po,ti
192,amigo,friend,noun,amigo,/aˈmiɡo/,a-mi-go,mi
193,gran,great; big,adjective,gran,/ˈɡɾan/,gran,gran
194,nuestro,"our, ours, to us",determiner,nuestro,/ˈnuestɾo/,nues-tro,nues
195,mujer,woman,noun,mujer,/muˈxeɾ/,mu-jer,jer
196,mamá,"mum, mom",noun,mamá,/maˈma/,ma-má,má
197,luego,then (afterward),adverb,luego,/ˈlueɡo/,lue-go,lue
198,papá,dad,noun,papá,/paˈpa/,pa-pá,pá
199,días,day (any period of 24 hours),noun,día,/ˈdias/,dí-as,dí
200,dice,"to say, to tell",verb,decir,/ˈdise/,di-ce,di
201,hoy,today,adverb,hoy,/ˈoi̯/,hoy,hoy
202,tres,three,number,tres,/ˈtɾes/,tres,tres
203,buena,good,adjective,buen,/ˈbuena/,bue-na,bue
204,necesito,to need,verb,necesitar,/neseˈsito/,ne-ce-si-to,si
205,dije,"to say, to tell",verb,decir,/ˈdixe/,di-je,di
206,oye,hey; listen,verb,oir,/ˈoʝe/,o-ye,o
207,gusta,to like; to be pleasing,verb,gustar,/ˈɡusta/,gus-ta,gus
208,quería,to want,verb,querer,/keˈɾia/,que-rí-a,rí
209,será,to be (essentially or identified as),verb,ser,/seˈɾa/,se-rá,rá
210,haber,have; forms the perfect aspect,verb,haber,/aˈbeɾ/,ha-ber,ber
211,parte,part; section; portion; share; piece; bit; cut; proportion,noun,parte,/ˈpaɾte/,par-te,par
212,todas,all; every (feminine plural),pronoun,todo,/ˈtodas/,to-das,to
213,crees,to believe; to think,verb,crees,/ˈkɾees/,cre-es,cre
214,buen,good,adjective,buen,/ˈbuen/,buen,buen
215,conmigo,with me,pronoun,conmigo,/konˈmiɡo/,con-mi-go,mi
216,nombre,name,noun,nombre,/ˈnombɾe/,nom-bre,nom
217,mierda,shit; crap,noun,mierdo,/ˈmieɾda/,mier-da,mier
218,nuestra,"our, ours, to us",determiner,nuestro,/ˈnuestɾa/,nues-tra,nues
219,mal,"badly, poorly, ill",adverb,mal,/ˈmal/,mal,mal
220,debe,must; should,verb,deber,/ˈdebe/,de-be,de
221,realmente,"really, actually, genuinely",adverb,realmente,/realˈmente/,re-al-men-te,men
222,estas,these (feminine),determiner,este,/ˈestas/,es-tas,es
223,aún,"still, yet",adverb,aún,/aˈun/,a-ún,ún
224,mío,mine; of mine,pronoun,mío,/ˈmio/,mí-o,mí
225,toda,all; every,determiner,todo,/ˈtoda/,to-da,to
226,hacerlo,infinitive of hacer combined with lo,verb,hacer él,/aˈseɾlo/,ha-cer-lo,cer
227,cada,each; every,determiner,cada,/ˈkada/,ca-da,ca
228,visto,seen,adjective,visto,/ˈbisto/,vis-to,vis
229,importa,to matter,verb,importar,/imˈpoɾta/,im-por-ta,por
230,contigo,with you,pronoun,contiguir,/konˈtiɡo/,con-ti-go,ti
231,tienen,to have; to possess,verb,tener,/ˈtienen/,tie-nen,tie
232,hemos,have; forms the perfect aspect,verb,haber,/ˈemos/,he-mos,he
233,razón,reason,noun,razón,/raˈson/,ra-zón,zón
234,alguna,some; any,determiner,alguno,/alˈɡuna/,al-gu-na,gu
235,tanto,"so much, long, hard, often, etc.",adverb,tanto,/ˈtanto/,tan-to,tan
236,saber,"to know, to understand (a fact)",verb,saber,/saˈbeɾ/,sa-ber,ber
237,hizo,to do; to make,verb,hacer,/ˈiso/,hi-zo,hi
238,veces,"time, instance",noun,vez,/ˈbeses/,ve-ces,ve
239,serio,"serious, earnest, sober, solemn (without humor)",adjective,serio,/ˈseɾio/,se-rio,se
240,ven,come! (also: they see),verb,ver,/ˈben/,ven,ven
241,idea,idea,noun,idea,/iˈdea/,i-de-a,de
242,eh,hey; huh?,interjection,eh,/ˈe/,eh,eh
243,tarde,late,adverb,tarde,/ˈtaɾde/,tar-de,tar
244,problema,"problem, issue, challenge (a difficulty or obstacle that has to be dealt with)",noun,problema,/pɾoˈblema/,pro-ble-ma,ble
245,hora,hour (a time period of sixty minutes),noun,hora,/ˈoɾa/,ho-ra,ho
246,cierto,true,adjective,cierto,/ˈsieɾto/,cier-to,cier
247,dicho,"mentioned, said, aforementioned",adjective,dicho,/ˈditʃo/,di-cho,di
248,quien,who,pronoun,quien,/ˈkien/,quien,quien
249,demasiado,"too much, excessively, far too much, overmuch (modifying a verb)",adverb,demasiado,/demaˈsiado/,de-ma-sia-do,sia
250,amor,love,noun,amor,/aˈmoɾ/,a-mor,mor
251,entre,between,preposition,entre,/ˈentɾe/,en-tre,en
252,ve,"to see, to spot",verb,ver,/ˈbe/,ve,ve
253,pasado,past,adjective,pasado,/paˈsado/,pa-sa-do,sa
254,familia,family (group of people related to each other),noun,familia,/faˈmilia/,fa-mi-lia,mi
255,estos,these,determiner,este,/ˈestos/,es-tos,es
256,policía,police; police officer,noun,policía,/poliˈsia/,po-li-cí-a,cí
257,debería,should; ought to,verb,deber,/debeˈɾia/,de-be-rí-a,rí
258,ustedes,"you (plural), you guys, y'all, yous, yinz, ye",pronoun,tú,/usˈtedes/,us-te-des,te
259,chica,girl,noun,chico,/ˈtʃika/,chi-ca,chi
260,esos,those,determiner,ese,/ˈesos/,e-sos,e
261,chicos,boy; kid,noun,chico,/ˈtʃikos/,chi-cos,chi
262,cuenta,to count; to tally,verb,contar,/ˈkuenta/,cuen-ta,cuen
263,haces,to do; to make,verb,haz,/ˈases/,ha-ces,ha
264,todavía,"still, yet",adverb,todavía,/todaˈbia/,to-da-ví-a,ví
265,salir,"to go out, to leave, to depart, to head out",verb,salir,/saˈliɾ/,sa-lir,lir
266,algún,some; any,determiner,alguno,/alˈɡun/,al-gún,gún
267,vaya,well!; come on!,verb,vaya,/ˈbaʝa/,va-ya,va
268,unos,some; a few,determiner,uno,/ˈunos/,u-nos,u
269,veo,to see,verb,veo,/ˈbeo/,ve-o,ve
270,amigos,friend,noun,amigo,/aˈmiɡos/,a-mi-gos,mi
271,hermano,brother,noun,hermano,/eɾˈmano/,her-ma-no,ma
272,pensé,"to think, ponder",verb,pensar,/penˈse/,pen-sé,sé
273,sabía,"to know, to understand (a fact)",verb,saber,/saˈbia/,sa-bí-a,bí
274,cabeza,head,noun,cabeza,/kaˈbesa/,ca-be-za,be
275,ah,ah; oh,interjection,ah,/ˈa/,ah,ah
276,cariño,"affection, fondness",noun,cariño,/kaˈɾiɲo/,ca-ri-ño,ri
277,digo,"to say, to tell",verb,decir,/ˈdiɡo/,di-go,di
278,van,to go (away from speaker and listener),verb,ir,/ˈban/,van,van
279,hombres,"man, (adult male human)",noun,hombre,/ˈombɾes/,hom-bres,hom
280,buenas,good (also a greeting),adjective,buena,/ˈbuenas/,bue-nas,bue
281,somos,to be (essentially or identified as),verb,ser,/ˈsomos/,so-mos,so
282,cualquier,"any, whatever, whichever",determiner,cualquiera,/kualˈkieɾ/,cual-quier,quier
283,forma,shape; form; figure,noun,forma,/ˈfoɾma/,for-ma,for
284,mientras,"while, whilst, as (at the same time as)",conjunction,mientras,/ˈmientɾas/,mien-tras,mien
285,lado,side,noun,lado,/ˈlado/,la-do,la
286,debo,must; should,verb,deber,/ˈdebo/,de-bo,de
287,sería,to be (essentially or identified as),verb,ser,/seˈɾia/,se-rí-a,rí
288,caso,case (situation or fact),noun,caso,/ˈkaso/,ca-so,ca
289,pueden,"to be able to, can",verb,poder,/ˈpueden/,pue-den,pue
290,pasó,"to pass, to hand, to slip",verb,pasar,/paˈso/,pa-só,só
291,primera,"first, first up",adjective,primero,/pɾiˈmeɾa/,pri-me-ra,me
292,genial,great; awesome,adjective,genial,/xeˈnial/,ge-nial,nial
293,chico,boy; kid (also: small),noun,chico,/ˈtʃiko/,chi-co,chi
294,supuesto,"supposed, self-styled, alleged",adjective,supuesto,/suˈpuesto/,su-pues-to,pues
295,hice,to do; to make,verb,hacer,/ˈise/,hi-ce,hi
296,pues,"so, then; in that case",conjunction,pues,/ˈpues/,pues,pues
297,adiós,"goodbye, farewell",interjection,adiós,/aˈdios/,a-diós,diós
298,muchas,"much, a lot of",determiner,mucho,/ˈmutʃas/,mu-chas,mu
299,personas,person (an individual; usually a human being),noun,persona,/peɾˈsonas/,per-so-nas,so
300,señora,lady,noun,señora,/seˈɲoɾa/,se-ño-ra,ño
301,volver,"to return, to revert, to get back",verb,volver,/bolˈbeɾ/,vol-ver,ver
302,esas,that,determiner,ese,/ˈesas/,e-sas,e
303,quizá,"perhaps, maybe",adverb,quizá,/kiˈsa/,qui-zá,zá
304,contra,"against, versus",preposition,contra,/ˈkontɾa/,con-tra,con
305,camino,"way, route",noun,camino,/kaˈmino/,ca-mi-no,mi
306,durante,"during, in, over",preposition,durante,/duˈɾante/,du-ran-te,ran
307,hablando,gerund of hablar,verb,hablar,/aˈblando/,ha-blan-do,blan
308,manera,way; manner; method; style,noun,manera,/maˈneɾa/,ma-ne-ra,ne
309,muerto,dead,adjective,muerto,/ˈmueɾto/,muer-to,muer
310,persona,person (an individual; usually a human being),noun,persona,/peɾˈsona/,per-so-na,so
311,rápido,"rapid, quick, fast",adjective,rápido,/ˈrapido/,rá-pi-do,rá
312,cuál,"which one, what, which",pronoun,cuál,/ˈkual/,cuál,cuál
313,ayuda,"help, aid",noun,ayuda,/aˈʝuda/,a-yu-da,yu
314,historia,history (the aggregate of past events),noun,historia,/isˈtoɾia/,his-to-ria,to
315,iba,to go (away from speaker and listener),verb,ir,/ˈiba/,i-ba,i
316,supongo,first-person singular present indicative of suponer,verb,suponer,/suˈponɡo/,su-pon-go,pon
317,nueva,new,adjective,nuevo,/ˈnueba/,nue-va,nue
318,entiendo,"to understand, to fathom",verb,entender,/enˈtiendo/,en-tien-do,tien
319,dentro,inside (for space),adverb,dentro,/ˈdentɾo/,den-tro,den
320,casi,almost,adverb,casi,/ˈkasi/,ca-si,ca
321,puerta,door (portal of entry into a building),noun,puerta,/ˈpueɾta/,puer-ta,puer
322,ves,"to see, to spot",verb,ver,/ˈbes/,ves,ves
323,pasar,"to pass, to hand, to slip",verb,pasar,/paˈsaɾ/,pa-sar,sar
324,primero,first; first of all; firstly,adverb,primero,/pɾiˈmeɾo/,pri-me-ro,me
325,significa,inflection of significar,verb,significar,/sixniˈfika/,sig-ni-fi-ca,fi
326,semana,week (7 days),noun,semana,/seˈmana/,se-ma-na,ma
327,hacia,"toward, towards",preposition,hacia,/ˈasia/,ha-cia,ha
328,quizás,"maybe, perhaps",adverb,quizás,/kiˈsas/,qui-zás,zás
329,espero,to hope,verb,esperar,/esˈpeɾo/,es-pe-ro,pe
330,juntos,together,adjective,junto,/ˈxuntos/,jun-tos,jun
331,año,year,noun,año,/ˈaɲo/,a-ño,a
332,niños,"child, boy",noun,niño,/ˈniɲos/,ni-ños,ni
333,pronto,"soon, promptly, any time soon",adverb,pronto,/ˈpɾonto/,pron-to,pron
334,tío,"uncle (the brother, brother-in-law, or male cousin or cousin-in-law of either parent)",noun,tío,/ˈtio/,tí-o,tí
335,suerte,"luck, fortune",noun,suerte,/ˈsueɾte/,suer-te,suer
336,ciudad,city,noun,ciudad,/siuˈdad/,ciu-dad,dad
337,siquiera,"at least, at the least",noun,siquiera,/siˈkieɾa/,si-quie-ra,quie
338,feliz,"happy, merry (trait)",adjective,feliz,/feˈlis/,fe-liz,liz
339,venir,Senses relating to literal movement.,verb,venir,/beˈniɾ/,ve-nir,nir
340,hija,daughter; female equivalent of hijo,noun,hija,/ˈixa/,hi-ja,hi
341,gustaría,first/third-person singular conditional of gustar,verb,gustar,/ɡustaˈɾia/,gus-ta-rí-a,rí
342,minutos,minute (a unit of time equal to 60 seconds or ¹⁄₆₀ hour),noun,minuto,/miˈnutos/,mi-nu-tos,nu
343,cuánto,how much; how many,determiner,cuánto,/ˈkuanto/,cuán-to,cuán
344,os,"you, to you, for you; dative and accusative of vosotros",pronoun,tú,/ˈos/,os,os
345,hey,hey!,interjection,hey,/ˈei̯/,hey,hey
346,muerte,death (the cessation of life),noun,muerte,/ˈmueɾte/,muer-te,muer
347,dejar,to leave (to place),verb,dejar,/deˈxaɾ/,de-jar,jar
348,realidad,reality,noun,realidad,/realiˈdad/,re-a-li-dad,dad
349,deja,to leave (to place),verb,dejar,/ˈdexa/,de-ja,de
350,problemas,"problem, issue, challenge (a difficulty or obstacle that has to be dealt with)",noun,problema,/pɾoˈblemas/,pro-ble-mas,ble
351,vi,"to see, to spot",verb,ver,/ˈbi/,vi,vi
352,da,"to give, to give out",verb,dar,/ˈda/,da,da
353,importante,"important, that cares, that matters.",adjective,importante,/impoɾˈtante/,im-por-tan-te,tan
354,dijiste,second-person singular preterite indicative of decir,verb,dijistir,/diˈxiste/,di-jis-te,jis
355,corazón,heart (organ of the body),noun,corazón,/koɾaˈson/,co-ra-zón,zón
356,miedo,fear,noun,miedo,/ˈmiedo/,mie-do,mie
357,jefe,"chief; president; head; leader of a business, political party, or other organization",noun,jefe,/ˈxefe/,je-fe,je
358,agua,water,noun,agua,/ˈaɡua/,a-gua,a
359,haré,to do,verb,hacer,/aˈɾe/,ha-ré,ré
360,justo,just,adjective,justo,/ˈxusto/,jus-to,jus
361,horas,hour (a time period of sixty minutes),noun,hora,/ˈoɾas/,ho-ras,ho
362,poder,"to be able to, can",verb,poder,/poˈdeɾ/,po-der,der
363,buenos,masculine plural of bueno,adjective,buen,/ˈbuenos/,bue-nos,bue
364,esposa,wife,noun,esposa,/esˈposa/,es-po-sa,po
365,manos,hand,noun,mano,/ˈmanos/,ma-nos,ma
366,debes,second-person singular present indicative of deber,verb,deber,/ˈdebes/,de-bes,de
367,viene,Senses relating to literal movement.,verb,venir,/ˈbiene/,vie-ne,vie
